Temmuz 2026;;;;;;;;;;;;;;;;;;
Marka Kodu;Tip Kodu;Marka Adı;Tip Adı;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
9;393;AUDI;A8 L 4.2 FSI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633392
9;401;AUDI;TTR 2.0 TFSI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1485400
9;402;AUDI;TTR 2.0 TFSI S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1561189
9;405;AUDI;R8 4.2 FSI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8268481
9;406;AUDI;R8 4.2 FSI R TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;10053556;9751949
9;408;AUDI;A5 COUPE 2.7 TDI MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1316299
9;409;AUDI;A5 COUPE 3.0 TDI QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1566491
9;410;AUDI;A5 COUPE 3.2 FSI MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1185291
9;411;AUDI;S5 COUPE 4.2 FSI QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3417835
9;412;AUDI;A3 1.4 TFSI (125);0;0;0;0;0;0;0;0;0;0;0;0;0;0;744806
9;413;AUDI;A3 SPORTBACK 1.4 TFSI (125);0;0;0;0;0;0;0;0;0;0;0;0;0;0;781077
9;414;AUDI;A5 COUPE 1.8 TFSI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1149964
9;415;AUDI;A8 3.0 TDI QUATTRO TIPTRONIC LONG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2755949
9;416;AUDI;A4 1.8 TFSI (160);0;0;0;0;0;0;0;0;0;0;0;0;0;0;938455
9;417;AUDI;A4 1.8 TFSI MULTITRONIC (160);0;0;0;0;0;0;0;0;0;0;0;0;0;0;969198
9;420;AUDI;A4 2.0 TDI (143);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1090296
9;421;AUDI;A4 2.0 TDI MULTITRONIC (140);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1190802
9;425;AUDI;Q7 3.0 TDI S-LINE;0;0;0;0;0;0;0;0;0;0;0;0;0;2439247;2366069
9;426;AUDI;A5 COUPE 1.8 TFSI MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1205730
9;435;AUDI;A3 1.4 TFSI S TRONIC (125);0;0;0;0;0;0;0;0;0;0;0;0;0;910605;883287
9;436;AUDI;A3 SPORTBACK 1.4 TFSI S TRONIC (122);0;0;0;0;0;0;0;0;0;0;0;0;0;899003;872033
9;437;AUDI;A4 1.8 TFSI (120);0;0;0;0;0;0;0;0;0;0;0;0;0;0;938455
9;438;AUDI;A3 1.6 S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;836680
9;439;AUDI;A3 SPORTBACK 1.6 S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;875190
9;440;AUDI;TTS COUPE 2.0 TFSI QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1710838
9;441;AUDI;TTS COUPE 2.0 TFSI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;1823057;1768365;1715312
9;442;AUDI;TTS ROADSTAR 2.0 TFSI QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2066281
9;443;AUDI;TTS ROADSTAR 2.0 TFSI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;1847700;1792269
9;444;AUDI;A5 COUPE 2.0 TFSI (180);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1172113
9;445;AUDI;A5 COUPE 2.0 TFSI (180) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1227869
9;446;AUDI;A5 COUPE 2.0 TFSI (211) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1227869
9;447;AUDI;A5 COUPE 2.0 TFSI (211) QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1334776
9;448;AUDI;A5 COUPE 3.0 TDI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1498157
9;449;AUDI;A5 COUPE 3.2 FSI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1174461
9;450;AUDI;S5 COUPE 4.2 QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3583907
9;452;AUDI;Q5 2.0 TDI QUATTRO 170 S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1400783
9;453;AUDI;Q5 2.0 TFSI QUATTRO 211 S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223511
9;454;AUDI;Q5 3.0 TDI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1576010
9;461;AUDI;S3 SPORTBACK 2.0 TFSI QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1683716
9;463;AUDI;A4 1.8 TFSI (120) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1014401
9;465;AUDI;A4 AVANT 1.8 TFSI (120) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;969198
9;466;AUDI;A4 AVANT 2.0 TFSI (211) QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1233592
9;467;AUDI;A6 3.0 TFSI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2053354
9;470;AUDI;TT COUPE 1.8 TFSI (160);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1368922
9;471;AUDI;TT COUPE 2.0 TDI QUATTRO (170);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583740
9;472;AUDI;TT ROADSTAR 2.0 TDI QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1652308
9;474;AUDI;TT ROADSTAR 2.0 TFSI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;1677928;1627591
9;477;AUDI;S4 QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2490603
9;478;AUDI;A4 AVANT 1.8 TFSI (160) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;969198
9;479;AUDI;S4 AVANT S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2670825
9;480;AUDI;A4 ALLROAD QUATTRO 2.0 TFSI 211 S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1549928
9;481;AUDI;A4 ALLROAD QUATTRO 2.0 TDI (170);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1602575
9;482;AUDI;A4 ALLROAD QUATTRO 3.0 TDI 240 S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1759838
9;483;AUDI;A5 COUPE 2.0 TFSI (211) QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1389709
9;484;AUDI;A5 COUPE 2.0 TDI (170) QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1366516
9;485;AUDI;A5 CABRIOLET 2.0 TFSI (180) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1590467
9;486;AUDI;A5 CABRIOLET 2.0 TFSI (211) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1594555
9;487;AUDI;A5 CABRIOLET 2.0 TFSI 211 QUATTRO S TRON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1725708
9;488;AUDI;A5 CABRIOLET 2.7 TDI MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1860225
9;489;AUDI;A5 CABRIOLET 3.0 TDI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2027053
9;490;AUDI;A5 CABRIOLET 3.2 FSI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1684898
9;491;AUDI;S5 CABRIOLET S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4011222
9;492;AUDI;TT ROADSTAR 1.8 TFSI (160);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1474156
9;494;AUDI;A5 SPORTBACK 2.0 TFSI (180);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1185418
9;495;AUDI;A5 SPORTBACK 2.0 TFSI (180) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1240338
9;496;AUDI;A5 SPORTBACK 2.0 TFSI (211) QUATTO S TRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1530110
9;497;AUDI;A5 SPORTBACK 2.0 TDI (143) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;1545486;1499120
9;498;AUDI;A5 SPORTBACK 2.0 TDI (170) QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500335
9;499;AUDI;A5 SPORTBACK 3.0 TDI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1696441
9;500;AUDI;A5 SPORTBACK 3.2 FSI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1401473
9;501;AUDI;S5 SPORTBACK 3.0 S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3696781
9;502;AUDI;Q7 6.0 V12 TDI  QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3931252
9;503;AUDI;A6 AVANT 2.0 TDI MULTITRONIC (170);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1631027
9;504;AUDI;A6 AVANT 3.0 TFSI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2044968
9;505;AUDI;R8 5.2 FSI QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9445076
9;506;AUDI;R8 5.2 FSI QUATTRO R TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;11371028;11029896
9;507;AUDI;A5 CABROLET 1.8 TFSI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1453167
